prop0,CO0,prop1,CO1,prop2,CO2,sequence,0,0
4,32,4,32,4,30,1,0,0
4,30,4,32,4,30,2,0,0
4,30,4,32,4,30,3,0,0
4,30,4,32,4,30,4,0,0
4,30,4,32,4,30,5,0,0
4,30,4,32,4,30,6,0,0
4,30,4,32,4,30,7,0,0
4,32,4,32,4,30,8,0,0
4,30,4,32,4,30,9,0,0
4,32,4,32,4,30,10,0,0
4,32,4,32,4,30,11,0,0
4,30,4,32,4,30,12,0,0
4,30,4,32,4,30,13,0,0
4,30,4,32,4,30,14,0,0
4,32,4,32,4,30,15,0,0
4,30,4,32,4,30,16,0,0
4,30,4,32,4,30,17,0,0
4,30,4,32,4,30,18,0,0
4,30,4,32,4,30,19,0,0
4,30,4,32,4,30,20,0,0
4,30,4,32,4,30,21,0,0
4,32,4,32,4,30,22,0,0
4,32,4,32,4,30,23,0,0
4,32,4,32,4,30,24,0,0
4,32,4,32,4,30,25,0,0
4,32,4,32,4,30,26,0,0
4,32,4,32,4,30,27,0,0
4,32,4,32,4,30,28,0,0
4,32,4,32,4,30,29,0,0
4,32,4,32,4,30,30,0,0
4,32,4,32,4,30,31,0,0
4,32,4,32,4,30,32,0,0
4,32,4,32,4,30,33,0,0
4,32,4,32,4,30,34,0,0
4,32,4,32,4,30,35,0,0
4,32,4,32,4,30,36,0,0
4,32,4,32,4,30,37,0,0
4,32,4,32,4,30,38,0,0
4,32,4,32,4,30,39,0,0
4,32,4,32,4,30,40,0,0
4,32,4,32,4,30,41,0,0
4,32,4,32,4,30,42,0,0
4,32,4,32,4,30,43,0,0
4,32,4,32,4,30,44,0,0
4,32,4,32,4,30,45,0,0
4,32,4,32,4,30,46,0,0
4,32,4,32,4,30,47,0,0
4,32,4,32,4,30,48,0,0
4,32,4,32,4,30,49,0,0
4,32,4,32,4,30,50,0,0
4,30,4,32,4,29,51,0,0
4,30,4,32,4,29,52,0,0
4,30,4,32,4,30,53,0,0
4,30,4,32,4,30,54,0,0
4,30,4,32,4,30,55,0,0
4,30,4,32,4,30,56,0,0
4,30,4,32,4,30,57,0,0
4,30,4,32,4,30,58,0,0
4,32,4,32,4,30,59,0,0
4,30,4,32,4,30,60,0,0
4,32,4,32,4,30,61,0,0
4,30,4,32,4,30,62,0,0
4,30,4,32,4,30,63,0,0
4,30,4,32,4,30,64,0,0
4,30,4,32,4,30,65,0,0
4,30,4,32,4,30,66,0,0
4,30,4,32,4,29,67,0,0
4,30,4,32,4,30,68,0,0
4,30,4,32,4,30,69,0,0
4,30,4,32,4,30,70,0,0
4,32,4,32,4,30,71,0,0
4,30,4,32,4,30,72,0,0
4,30,4,31,4,30,73,0,0
4,30,4,32,4,30,74,0,0
4,30,4,32,4,30,75,0,0
4,32,4,32,4,30,76,0,0
4,30,4,32,4,30,77,0,0
4,30,4,32,4,30,78,0,0
4,30,4,32,4,30,79,0,0
4,30,4,32,4,30,80,0,0
4,32,4,32,4,30,81,0,0
4,30,4,32,4,30,82,0,0
4,32,4,32,4,30,83,0,0
4,32,4,32,4,30,84,0,0
4,32,4,32,4,30,85,0,0
4,32,4,32,4,30,86,0,0
4,32,4,32,4,31,87,0,0
4,30,4,32,4,31,88,0,0
4,32,4,32,4,33,89,0,0
4,30,4,32,4,33,90,0,0
4,30,4,32,4,33,91,0,0
4,30,4,32,4,33,92,0,0
4,30,4,32,4,33,93,0,0
4,32,4,32,4,33,94,0,0
4,32,4,32,4,33,95,0,0
4,32,4,32,4,33,96,0,0
4,32,4,32,4,33,97,0,0
4,32,4,32,4,33,98,0,0
4,32,4,32,4,33,99,0,0
4,32,4,32,4,33,100,0,0
4,32,4,32,4,33,101,0,0
4,32,4,32,4,31,102,0,0
